,word,frequency,length
鱈魚xuěyú,鱈魚xuěyú,2,5,
滅亡mièwáng,滅亡mièwáng,2,7,
官員guānyuán,官員guānyuán,2,8,
童工tónggōng,童工tónggōng,2,8,
飛行員fēixíngyuán,飛行員fēixíngyuán,2,11,
尋求xúnqiú,尋求xúnqiú,2,6,
末mò,末mò,2,2,
協助xiézhù,協助xiézhù,2,6,
國防guófáng,國防guófáng,2,7,
春天chūntiān,春天chūntiān,2,8,
好評hǎopíng,好評hǎopíng,2,7,
去除qùchú,去除qùchú,2,5,
火箭huǒjiàn,火箭huǒjiàn,2,7,
結果jiéguǒ,結果jiéguǒ,2,6,
實驗shíyàn,實驗shíyàn,2,6,
城鎮chéngzhèn,城鎮chéngzhèn,2,9,
社交shèjiāo,社交shèjiāo,2,7,
太空tàikōng,太空tàikōng,2,7,
全部quánbù,全部quánbù,2,6,
存活cúnhuó,存活cúnhuó,2,6,
博客bókè,博客bókè,2,4,
科幻kēhuàn,科幻kēhuàn,2,6,
心態xīntài,心態xīntài,2,6,
長成zhǎngchéng,長成zhǎngchéng,2,10,
公主gōngzhǔ,公主gōngzhǔ,2,7,
投資者tóuzīzhě,投資者tóuzīzhě,2,8,
史達林shǐdálín,史達林shǐdálín,2,8,
卡洛斯kǎluòsī,卡洛斯kǎluòsī,2,7,
公民gōngmín,公民gōngmín,2,7,
助理zhùlǐ,助理zhùlǐ,2,5,
該州gāizhōu,該州gāizhōu,2,7,
相反xiāngfǎn,相反xiāngfǎn,2,8,
慶祝qìngzhù,慶祝qìngzhù,2,7,
理查德lǐchádé,理查德lǐchádé,2,7,
史前shǐqián,史前shǐqián,2,7,
瑪雅人mǎyǎrén,瑪雅人mǎyǎrén,2,7,
文章wénzhāng,文章wénzhāng,2,8,
基督教jīdūjiào,基督教jīdūjiào,2,8,
缺席quēxí,缺席quēxí,2,5,
假期jiǎqī,假期jiǎqī,2,5,
冊cè,冊cè,2,2,
選xuǎn,選xuǎn,2,4,
別人biérén,別人biérén,2,6,
穿戴chuāndài,穿戴chuāndài,2,8,
安東尼āndōngní,安東尼āndōngní,2,8,
秘密mìmì,秘密mìmì,2,4,
多少duōshǎo,多少duōshǎo,2,7,
購買gòumǎi,購買gòumǎi,2,6,
變遷biànqiān,變遷biànqiān,2,8,
打開dǎkāi,打開dǎkāi,2,5,
霸占bàzhàn,霸占bàzhàn,2,6,
愛丁堡àidīngbǎo,愛丁堡àidīngbǎo,2,9,
後果hòuguǒ,後果hòuguǒ,2,6,
可疑kěyí,可疑kěyí,2,4,
變成biànchéng,變成biànchéng,2,9,
內部nèibù,內部nèibù,2,5,
碳tàn,碳tàn,2,3,
李維lǐwéi,李維lǐwéi,2,5,
激烈jīliè,激烈jīliè,2,5,
群島qúndǎo,群島qúndǎo,2,6,
萊恩láiēn,萊恩láiēn,2,5,
太平洋tàipíngyáng,太平洋tàipíngyáng,2,11,
印yìn,印yìn,2,3,
尼古拉斯nígǔlāsī,尼古拉斯nígǔlāsī,2,8,
比利時bǐlìshí,比利時bǐlìshí,2,7,
客串kèchuàn,客串kèchuàn,2,7,
增長率zēngzhǎnglǜ,增長率zēngzhǎnglǜ,2,11,
科學家kēxuéjiā,科學家kēxuéjiā,2,8,
停留tíngliú,停留tíngliú,2,7,
生者shēngzhě,生者shēngzhě,2,8,
儲蓄chǔxù,儲蓄chǔxù,2,5,
推特tuītè,推特tuītè,2,5,
提高tígāo,提高tígāo,2,5,
主演zhǔyǎn,主演zhǔyǎn,2,6,
發揮fāhuī,發揮fāhuī,2,5,
要么yàome,要么yàome,2,5,
議院yìyuàn,議院yìyuàn,2,6,
滿意mǎnyì,滿意mǎnyì,2,5,
局jú,局jú,2,2,
成就chéngjiù,成就chéngjiù,2,8,
美國人měiguórén,美國人měiguórén,2,9,
打入dǎrù,打入dǎrù,2,4,
阿特靈ātèlíng,阿特靈ātèlíng,2,7,
朝鮮cháoxiān,朝鮮cháoxiān,2,8,
協定xiédìng,協定xiédìng,2,7,
錦標賽jǐnbiāosài,錦標賽jǐnbiāosài,2,10,
提及tíjí,提及tíjí,2,4,
收益shōuyì,收益shōuyì,2,6,
岡薩雷斯gāngsàléisī,岡薩雷斯gāngsàléisī,2,11,
澳大利亞人àodàlìyàrén,澳大利亞人àodàlìyàrén,2,11,
勳爵xūnjué,勳爵xūnjué,2,6,
雪人xuěrén,雪人xuěrén,2,6,
分隔fēngé,分隔fēngé,2,5,
掌權zhǎngquán,掌權zhǎngquán,2,9,
喬治qiáozhì,喬治qiáozhì,2,7,
極度jídù,極度jídù,2,4,
坎伯蘭kǎnbólán,坎伯蘭kǎnbólán,2,8,
卡森kǎsēn,卡森kǎsēn,2,5,
虔誠qiánchéng,虔誠qiánchéng,2,9,
拉博夫lābófū,拉博夫lābófū,2,6,
達到dádào,達到dádào,2,5,
很少hěnshǎo,很少hěnshǎo,2,7,
藉由jíyóu,藉由jíyóu,2,5,
裡面lǐmiàn,裡面lǐmiàn,2,6,
經歷jīnglì,經歷jīnglì,2,6,
材料cáiliào,材料cáiliào,2,7,
追求zhuīqiú,追求zhuīqiú,2,7,
平壤píngrǎng,平壤píngrǎng,2,8,
波蘭bōlán,波蘭bōlán,2,5,
優秀yōuxiù,優秀yōuxiù,2,6,
制度zhìdù,制度zhìdù,2,5,
埋mái,埋mái,2,3,
揭露jiēlù,揭露jiēlù,2,5,
狀態zhuàngtài,狀態zhuàngtài,2,9,
斷層duàncéng,斷層duàncéng,2,8,
作曲家zuòqūjiā,作曲家zuòqūjiā,2,8,
兼jiān,兼jiān,2,4,
建設jiànshè,建設jiànshè,2,7,
成果chéngguǒ,成果chéngguǒ,2,8,
推動tuīdòng,推動tuīdòng,2,7,
資本zīběn,資本zīběn,2,5,
蓋耶gàiyé,蓋耶gàiyé,2,5,
毀滅huǐmiè,毀滅huǐmiè,2,6,
含量hánliàng,含量hánliàng,2,8,
正確zhèngquè,正確zhèngquè,2,8,
假設jiǎshè,假設jiǎshè,2,6,
賽道sàidào,賽道sàidào,2,6,
聊天liáotiān,聊天liáotiān,2,8,
前進qiánjìn,前進qiánjìn,2,7,
發送fāsòng,發送fāsòng,2,6,
葬禮zànglǐ,葬禮zànglǐ,2,6,
仍舊réngjiù,仍舊réngjiù,2,7,
收入shōurù,收入shōurù,2,6,
劇jù,劇jù,2,2,
傷害shānghài,傷害shānghài,2,8,
當前dāngqián,當前dāngqián,2,8,
船隻chuánzhī,船隻chuánzhī,2,8,
不可思議bùkěsīyì,不可思議bùkěsīyì,2,8,
巨額jùé,巨額jùé,2,3,
遠離yuǎnlí,遠離yuǎnlí,2,6,
男子nánzi,男子nánzi,2,5,
探討tàntǎo,探討tàntǎo,2,6,
補助bǔzhù,補助bǔzhù,2,5,
哪兒nǎér,哪兒nǎér,2,4,
入讀率rùdúlǜ,入讀率rùdúlǜ,2,6,
離婚líhūn,離婚líhūn,2,5,
演員yǎnyuán,演員yǎnyuán,2,7,
龐培pángpéi,龐培pángpéi,2,7,
不久bùjiǔ,不久bùjiǔ,2,5,
投入tóurù,投入tóurù,2,5,
超越chāoyuè,超越chāoyuè,2,7,
摩納哥mónàgē,摩納哥mónàgē,2,6,
關閉guānbì,關閉guānbì,2,6,
指zhǐ,指zhǐ,2,3,
對手duìshǒu,對手duìshǒu,2,7,
四世sìshì,四世sìshì,2,5,
問wèn,問wèn,2,3,
統計tǒngjì,統計tǒngjì,2,6,
理查lǐchá,理查lǐchá,2,5,
士兵shìbīng,士兵shìbīng,2,7,
約克yuēkè,約克yuēkè,2,5,
注意zhùyì,注意zhùyì,2,5,
裡根lǐgēn,裡根lǐgēn,2,5,
妥協tuǒxié,妥協tuǒxié,2,6,
知識zhīshí shì,知識zhīshí shì,2,10,
貝貝bèibèi,貝貝bèibèi,2,6,
牧師mùshī,牧師mùshī,2,5,
每人měirén,每人měirén,2,6,
開支kāizhī,開支kāizhī,2,6,
同年tóngnián,同年tóngnián,2,8,
部落bùluò,部落bùluò,2,5,
日耳曼rìěrmàn,日耳曼rìěrmàn,2,7,
立足lìzú,立足lìzú,2,4,
其後qíhòu,其後qíhòu,2,5,
吉他手jítāshǒu,吉他手jítāshǒu,2,8,
海外hǎiwài,海外hǎiwài,2,6,
貴族guìzú,貴族guìzú,2,5,
字母表zìmǔbiǎo,字母表zìmǔbiǎo,2,8,
簡直jiǎnzhí,簡直jiǎnzhí,2,7,
迪斯尼dísīní,迪斯尼dísīní,2,6,
機會jīhuì,機會jīhuì,2,5,
氣象qìxiàng,氣象qìxiàng,2,7,
場合chǎnghé,場合chǎnghé,2,7,
登上dēngshàng,登上dēngshàng,2,9,
預報yùbào,預報yùbào,2,5,
不幸bùxìng,不幸bùxìng,2,6,
採取cǎiqǔ,採取cǎiqǔ,2,5,
質量zhìliàng,質量zhìliàng,2,8,
廣guǎng,廣guǎng,2,5,
否則fǒuzé,否則fǒuzé,2,5,
程序chéngxù,程序chéngxù,2,7,
奇蹟qíjī,奇蹟qíjī,2,4,
嫁給jiàgěi,嫁給jiàgěi,2,6,
聲稱shēngchēng,聲稱shēngchēng,2,10,
獲勝huòshèng,獲勝huòshèng,2,8,
白人báirén,白人báirén,2,6,
聯合國liánhéguó,聯合國liánhéguó,2,9,
希羅底xīluódǐ,希羅底xīluódǐ,2,7,
實驗室shíyànshì,實驗室shíyànshì,2,9,
環節huánjié,環節huánjié,2,7,
準確zhǔnquè,準確zhǔnquè,2,7,
克頓kèdùn,克頓kèdùn,2,5,
約里奧yuēlǐào,約里奧yuēlǐào,2,7,
巴爾幹bāěrgàn,巴爾幹bāěrgàn,2,7,
擺脫bǎituō,擺脫bǎituō,2,6,
日子rìzi,日子rìzi,2,4,
遺忘yíwàng,遺忘yíwàng,2,6,
賞識shǎngshí shì,賞識shǎngshí shì,2,12,
休息xiūxī,休息xiūxī,2,5,
鑑jiàn,鑑jiàn,2,4,
流行liúxíng,流行liúxíng,2,7,
職位zhíwèi,職位zhíwèi,2,6,
亞歷山大yàlìshāndà,亞歷山大yàlìshāndà,2,10,
放fàng,放fàng,2,4,
殖民地zhímínde dì,殖民地zhímínde dì,2,11,
願意yuànyì,願意yuànyì,2,6,
設計師shèjìshī,設計師shèjìshī,2,8,
海峽hǎixiá,海峽hǎixiá,2,6,
檢查jiǎnchá,檢查jiǎnchá,2,7,
噁心ěxīn,噁心ěxīn,2,4,
進口jìnkǒu,進口jìnkǒu,2,6,
朱婷zhūtíng,朱婷zhūtíng,2,7,
感覺gǎnjué,感覺gǎnjué,2,6,
樣本yàngběn,樣本yàngběn,2,7,
中斷zhōngduàn,中斷zhōngduàn,2,9,
基jī,基jī,2,2,
人均rénjūn,人均rénjūn,2,6,
告終gàozhōng,告終gàozhōng,2,8,
圍繞wéirào,圍繞wéirào,2,6,
爭論zhēnglùn,爭論zhēnglùn,2,8,
角度jiǎodù,角度jiǎodù,2,6,
歡樂huānlè,歡樂huānlè,2,6,
鬧劇nàojù,鬧劇nàojù,2,5,
精英jīngyīng,精英jīngyīng,2,8,
黨dǎng,黨dǎng,2,4,
民主mínzhǔ,民主mínzhǔ,2,6,
此外cǐwài,此外cǐwài,2,5,
統治者tǒngzhìzhě,統治者tǒngzhìzhě,2,10,
即將jíjiāng,即將jíjiāng,2,7,
永yǒng,永yǒng,2,4,
超級chāojí,超級chāojí,2,6,
小塊xiǎokuài,小塊xiǎokuài,2,8,
不想bùxiǎng,不想bùxiǎng,2,7,
前線qiánxiàn,前線qiánxiàn,2,8,
詳細xiángxì,詳細xiángxì,2,7,
經驗jīngyàn,經驗jīngyàn,2,7,
多斯duōsī,多斯duōsī,2,5,
計算jìsuàn,計算jìsuàn,2,6,
武裝wǔzhuāng,武裝wǔzhuāng,2,8,
希律xīlǜ,希律xīlǜ,2,4,
局勢júshì,局勢júshì,2,5,
凱撒kǎisā,凱撒kǎisā,2,5,
層面céngmiàn,層面céngmiàn,2,8,
選項xuǎnxiàng,選項xuǎnxiàng,2,9,
確保quèbǎo,確保quèbǎo,2,6,
緊鄰jǐnlín,緊鄰jǐnlín,2,6,
遺憾yíhàn,遺憾yíhàn,2,5,
明治míngzhì,明治míngzhì,2,7,
大樓dàlóu,大樓dàlóu,2,5,
地峽de dìxiá,地峽de dìxiá,2,8,
瘋狂fēngkuáng,瘋狂fēngkuáng,2,9,
年號niánhào,年號niánhào,2,7,
優步yōubù,優步yōubù,2,5,
困擾kùnrǎo,困擾kùnrǎo,2,6,
細節xìjié,細節xìjié,2,5,
遺跡yíjī,遺跡yíjī,2,4,
寫作xiězuò,寫作xiězuò,2,6,
北海běihǎi,北海běihǎi,2,6,
關心guānxīn,關心guānxīn,2,7,
錄製lùzhì,錄製lùzhì,2,5,
版本bǎnběn,版本bǎnběn,2,6,
族裔zúyì,族裔zúyì,2,4,
立石lìshí,立石lìshí,2,5,
添加tiānjiā,添加tiānjiā,2,7,
三百萬sānbǎiwàn,三百萬sānbǎiwàn,2,9,
而是érshì,而是érshì,2,5,
滿月mǎnyuè,滿月mǎnyuè,2,6,
絕妙juémiào,絕妙juémiào,2,7,
吸引力xīyǐnlì,吸引力xīyǐnlì,2,7,
不論bùlùn,不論bùlùn,2,5,
針對zhēnduì,針對zhēnduì,2,7,
爭議zhēngyì,爭議zhēngyì,2,7,
福特fútè,福特fútè,2,4,
分離fēnlí,分離fēnlí,2,5,
哭泣kūqì,哭泣kūqì,2,4,
生態shēngtài,生態shēngtài,2,8,
加勒比人jiālēibǐrén,加勒比人jiālēibǐrén,2,11,
教jiào,教jiào,2,4,
污染wūrǎn,污染wūrǎn,2,5,
車型chēxíng,車型chēxíng,2,7,
醫生yīshēng,醫生yīshēng,2,7,
西方xīfāng,西方xīfāng,2,6,
周圍zhōuwéi,周圍zhōuwéi,2,7,
飽受bǎoshòu,飽受bǎoshòu,2,7,
片piàn,片piàn,2,4,
恰當qiàdāng,恰當qiàdāng,2,7,
哪nǎ,哪nǎ,2,2,
不管bùguǎn,不管bùguǎn,2,6,
告誡gàojiè,告誡gàojiè,2,6,
病人bìngrén,病人bìngrén,2,7,
激進jījìn,激進jījìn,2,5,
政策zhèngcè,政策zhèngcè,2,7,
林肯línkěn,林肯línkěn,2,6,
疼痛téngtòng,疼痛téngtòng,2,8,
農民nóngmín,農民nóngmín,2,7,
差異chà chāyì,差異chà chāyì,2,9,
臉liǎn,臉liǎn,2,4,
奧林匹克àolínpǐkè,奧林匹克àolínpǐkè,2,9,
藝術性yìshùxìng,藝術性yìshùxìng,2,9,
成長chéngzhǎng,成長chéngzhǎng,2,10,
充滿chōngmǎn,充滿chōngmǎn,2,8,
講述jiǎngshù,講述jiǎngshù,2,8,
事實shìshí,事實shìshí,2,6,
馬德里mǎdélǐ,馬德里mǎdélǐ,2,6,
重現zhòngxiàn,重現zhòngxiàn,2,9,
建成jiànchéng,建成jiànchéng,2,9,
南非nánfēi,南非nánfēi,2,6,
巴西bāxī,巴西bāxī,2,4,
發電fādiàn,發電fādiàn,2,6,
選區xuǎnqū,選區xuǎnqū,2,6,
低海拔dīhǎibá,低海拔dīhǎibá,2,7,
蒂娜dìnà,蒂娜dìnà,2,4,
匈牙利xiōngyálì,匈牙利xiōngyálì,2,9,
不少bùshǎo,不少bùshǎo,2,6,
篇piān,篇piān,2,4,
數字shùzì,數字shùzì,2,5,
呼聲hūshēng,呼聲hūshēng,2,7,
止zhǐ,止zhǐ,2,3,
中央zhōngyāng,中央zhōngyāng,2,9,
供gōng,供gōng,2,4,
奪回duóhuí,奪回duóhuí,2,6,
位置wèizhì,位置wèizhì,2,6,
席位xíwèi,席位xíwèi,2,5,
基督jīdū,基督jīdū,2,4,
地圖de dìtú,地圖de dìtú,2,7,
遭zāo,遭zāo,2,3,
忽視hūshì,忽視hūshì,2,5,
注重zhùzhòng,注重zhùzhòng,2,8,
教皇jiàohuáng,教皇jiàohuáng,2,9,
較為jiàowèi,較為jiàowèi,2,7,
知zhī,知zhī,2,3,
認識rènshí shì,認識rènshí shì,2,10,
有時yǒushí,有時yǒushí,2,6,
觀察guānchá,觀察guānchá,2,7,
西雅那xīyǎnà,西雅那xīyǎnà,2,6,
駁回bóhuí,駁回bóhuí,2,5,
引用yǐnyòng,引用yǐnyòng,2,7,
撤回chèhuí,撤回chèhuí,2,6,
武器wǔqì,武器wǔqì,2,4,
伯戈因bógēyīn,伯戈因bógēyīn,2,7,
條款tiáokuǎn,條款tiáokuǎn,2,8,
安石ānshí,安石ānshí,2,5,
通知tōngzhī,通知tōngzhī,2,7,
歷史學家lìshǐxuéjiā,歷史學家lìshǐxuéjiā,2,11,
舊殖民地jiùzhímínde dì,舊殖民地jiùzhímínde dì,2,14,
取消qǔxiāo,取消qǔxiāo,2,6,
旅行lǚxíng,旅行lǚxíng,2,6,
嘗試chángshì,嘗試chángshì,2,8,
偉大wěidà,偉大wěidà,2,5,
燈塔dēngtǎ,燈塔dēngtǎ,2,6,
嚴格yángé,嚴格yángé,2,5,
不過bùguò,不過bùguò,2,5,
醫學yīxué,醫學yīxué,2,5,
名人míngrén,名人míngrén,2,7,
全面quánmiàn,全面quánmiàn,2,8,
一致yīzhì,一致yīzhì,2,5,
國內guónèi,國內guónèi,2,6,
醜聞chǒuwén,醜聞chǒuwén,2,7,
邊緣biānyuán,邊緣biānyuán,2,8,
顯而易見xiǎnéryìjiàn,顯而易見xiǎnéryìjiàn,2,12,
品種pǐnzhǒng,品種pǐnzhǒng,2,8,
那兒nàér,那兒nàér,2,4,
不多bùduō,不多bùduō,2,5,
差chà chā,差chà chā,2,7,
沙塵暴shāchénbào,沙塵暴shāchénbào,2,10,
總部zǒngbù,總部zǒngbù,2,6,
大麻dàmá,大麻dàmá,2,4,
紀念碑jìniànbēi,紀念碑jìniànbēi,2,9,
那里nàlǐ,那里nàlǐ,2,4,
露天lùtiān,露天lùtiān,2,6,
網上wǎngshàng,網上wǎngshàng,2,9,
起源qǐyuán,起源qǐyuán,2,6,
破裂pòliè,破裂pòliè,2,5,
猜測cāicè,猜測cāicè,2,5,
生產shēngchǎn,生產shēngchǎn,2,9,
血紅蛋白xuèhóngdànbái,血紅蛋白xuèhóngdànbái,2,13,
紅hóng,紅hóng,2,4,
完工wángōng,完工wángōng,2,7,
西邊xībiān,西邊xībiān,2,6,
五十wǔshí,五十wǔshí,2,5,
摧毀cuīhuǐ,摧毀cuīhuǐ,2,6,
雷暴léibào,雷暴léibào,2,6,
政黨zhèngdǎng,政黨zhèngdǎng,2,9,
割讓gēràng,割讓gēràng,2,6,
威尼斯wēinísī,威尼斯wēinísī,2,7,
遭到zāodào,遭到zāodào,2,6,
達菲dáfēi,達菲dáfēi,2,5,
欺詐qīzhà,欺詐qīzhà,2,5,
三十sānshí,三十sānshí,2,6,
進攻jìngōng,進攻jìngōng,2,7,
降到jiàngdào,降到jiàngdào,2,8,
延續yánxù,延續yánxù,2,5,
復興fùxìng,復興fùxìng,2,6,
符合fúhé,符合fúhé,2,4,
不可bùkě,不可bùkě,2,4,
規定guīdìng,規定guīdìng,2,7,
必bì,必bì,2,2,
指出zhǐchū,指出zhǐchū,2,6,
推出tuīchū,推出tuīchū,2,6,
直至zhízhì,直至zhízhì,2,6,
客戶kèhù,客戶kèhù,2,4,
罕見hǎnjiàn,罕見hǎnjiàn,2,7,
一分為二yīfēnwèièr,一分為二yīfēnwèièr,2,10,
作出zuòchū,作出zuòchū,2,6,
狀況zhuàngkuàng,狀況zhuàngkuàng,2,11,
澳洲àozhōu,澳洲àozhōu,2,6,
蘇格蘭sūgélán,蘇格蘭sūgélán,2,7,
初期chūqī,初期chūqī,2,5,
有力yǒulì,有力yǒulì,2,5,
不大bùdà,不大bùdà,2,4,
崔絲cuīsī,崔絲cuīsī,2,5,
視shì,視shì,2,3,
希斯帕尼亞xīsīpàníyà,希斯帕尼亞xīsīpàníyà,2,10,
收到shōudào,收到shōudào,2,7,
模型móxíng,模型móxíng,2,6,
邁克爾màikèěr,邁克爾màikèěr,2,7,
平行píngxíng,平行píngxíng,2,8,
方fāng,方fāng,2,4,
歡迎huānyíng,歡迎huānyíng,2,8,
據稱jùchēng,據稱jùchēng,2,7,
群體qúntǐ,群體qúntǐ,2,5,
交易jiāoyì,交易jiāoyì,2,6,
目的mùde,目的mùde,2,4,
肥料féiliào,肥料féiliào,2,7,
有名yǒumíng,有名yǒumíng,2,7,
代理dàilǐ,代理dàilǐ,2,5,
娛樂yúlè,娛樂yúlè,2,4,
審查shěnchá,審查shěnchá,2,7,
畢竟bìjìng,畢竟bìjìng,2,6,
單元dānyuán,單元dānyuán,2,7,
之於zhīyú,之於zhīyú,2,5,
強qiáng,強qiáng,2,5,
哥倫佈gēlúnbù,哥倫佈gēlúnbù,2,7,
謂wèi,謂wèi,2,3,
小教堂xiǎojiàotáng,小教堂xiǎojiàotáng,2,12,
美裔měiyì,美裔měiyì,2,5,
拉丁lādīng,拉丁lādīng,2,6,
指導zhǐdǎo,指導zhǐdǎo,2,6,
方針fāngzhēn,方針fāngzhēn,2,8,
意味yìwèi,意味yìwèi,2,5,
溫度wēndù,溫度wēndù,2,5,
吉卜林jíbo bǔlín,吉卜林jíbo bǔlín,2,10,
告知gàozhī,告知gàozhī,2,6,
證據zhèngjù,證據zhèngjù,2,7,
手術shǒushù,手術shǒushù,2,7,
阿拉斯加ālāsījiā,阿拉斯加ālāsījiā,2,8,
適合shìhé,適合shìhé,2,5,
檢測jiǎncè,檢測jiǎncè,2,6,
揭示jiēshì,揭示jiēshì,2,6,
預算yùsuàn,預算yùsuàn,2,6,
年度niándù,年度niándù,2,6,
因而yīnér,因而yīnér,2,5,
發生率fāshēnglǜ,發生率fāshēnglǜ,2,9,
祈禱qídǎo,祈禱qídǎo,2,5,
探索tànsuǒ,探索tànsuǒ,2,6,
善良shànliáng,善良shànliáng,2,9,
安第斯āndìsī,安第斯āndìsī,2,6,
西北部xīběibù,西北部xīběibù,2,7,
時刻shíkè,時刻shíkè,2,5,
話huà,話huà,2,3,
初選chūxuǎn,初選chūxuǎn,2,7,
法蘭西fǎlánxī,法蘭西fǎlánxī,2,7,
嫌疑人xiányírén,嫌疑人xiányírén,2,9,
對抗duìkàng,對抗duìkàng,2,7,
分鐘fēnzhōng,分鐘fēnzhōng,2,8,
軍官jūnguān,軍官jūnguān,2,7,
好像hǎoxiàng,好像hǎoxiàng,2,8,
拉瑪爾lāmǎěr,拉瑪爾lāmǎěr,2,6,
下面xiàmiàn,下面xiàmiàn,2,7,
戰敗zhànbài,戰敗zhànbài,2,7,
引起yǐnqǐ,引起yǐnqǐ,2,5,
妥善tuǒshàn,妥善tuǒshàn,2,7,
奠定diàndìng,奠定diàndìng,2,8,
黨內dǎngnèi,黨內dǎngnèi,2,7,
醫療yīliáo,醫療yīliáo,2,6,
道德dàodé,道德dàodé,2,5,
聽證會tīngzhènghuì,聽證會tīngzhènghuì,2,12,
畫huà,畫huà,2,3,
種族zhǒngzú,種族zhǒngzú,2,7,
王wáng,王wáng,2,4,
面miàn,面miàn,2,4,
廢墟fèixū,廢墟fèixū,2,5,
空中kōngzhōng,空中kōngzhōng,2,9,
堪薩斯州kānsàsīzhōu,堪薩斯州kānsàsīzhōu,2,11,
集團jítuán,集團jítuán,2,6,
英格蘭yīnggélán,英格蘭yīnggélán,2,9,
部件bùjiàn,部件bùjiàn,2,6,
正是zhèngshì,正是zhèngshì,2,8,
性別xìngbié,性別xìngbié,2,7,
退tuì,退tuì,2,3,
港口gǎngkǒu,港口gǎngkǒu,2,7,
鬥志dòuzhì,鬥志dòuzhì,2,6,
斯巴達sībādá,斯巴達sībādá,2,6,
展現zhǎnxiàn,展現zhǎnxiàn,2,8,
法西斯fǎxīsī,法西斯fǎxīsī,2,6,
主義者zhǔyìzhě,主義者zhǔyìzhě,2,8,
經過jīngguò,經過jīngguò,2,7,
殊榮shūróng,殊榮shūróng,2,7,
舞台劇wǔtáijù,舞台劇wǔtáijù,2,7,
角洲jiǎozhōu,角洲jiǎozhōu,2,8,
以後yǐhòu,以後yǐhòu,2,5,
信xìn,信xìn,2,3,
目擊者mùjīzhě,目擊者mùjīzhě,2,7,
謙遜qiānxùn,謙遜qiānxùn,2,7,
便biàn,便biàn,2,4,
然後ránhòu,然後ránhòu,2,6,
穿chuān,穿chuān,2,5,
真實zhēnshí,真實zhēnshí,2,7,
保障bǎozhàng,保障bǎozhàng,2,8,
戴dài,戴dài,2,3,
多瑙河duōnǎohé,多瑙河duōnǎohé,2,8,
運輸yùnshū,運輸yùnshū,2,6,
石製shízhì,石製shízhì,2,6,
圖片túpiàn,圖片túpiàn,2,6,
叛軍pànjūn,叛軍pànjūn,2,6,
指揮權zhǐhuīquán,指揮權zhǐhuīquán,2,10,
管guǎn,管guǎn,2,4,
更為gèngwèi,更為gèngwèi,2,7,
主張zhǔzhāng,主張zhǔzhāng,2,8,
很快hěnkuài,很快hěnkuài,2,7,
平原píngyuán,平原píngyuán,2,8,
比例bǐlì,比例bǐlì,2,4,
真正zhēnzhèng,真正zhēnzhèng,2,9,
佔zhàn,佔zhàn,2,4,
可靠kěkào,可靠kěkào,2,5,
日常rìcháng,日常rìcháng,2,7,
境內jìngnèi,境內jìngnèi,2,7,
專業zhuānyè,專業zhuānyè,2,7,
烏克蘭wūkèlán,烏克蘭wūkèlán,2,7,
選出xuǎnchū,選出xuǎnchū,2,7,
早期zǎoqī,早期zǎoqī,2,5,
劇本jùběn,劇本jùběn,2,5,
發育fāyù,發育fāyù,2,4,
佔領zhànlǐng,佔領zhànlǐng,2,8,
轉zhuǎn,轉zhuǎn,2,5,
穩步wěnbù,穩步wěnbù,2,5,
代理人dàilǐrén,代理人dàilǐrén,2,8,
形式xíngshì,形式xíngshì,2,7,
歌手gēshǒu,歌手gēshǒu,2,6,
撤退chètuì,撤退chètuì,2,6,
聯軍liánjūn,聯軍liánjūn,2,7,
船員chuányuán,船員chuányuán,2,9,
乘坐chéngzuò,乘坐chéngzuò,2,8,
更大gèngdà,更大gèngdà,2,6,
印第安人yìndìānrén,印第安人yìndìānrén,2,10,
理事會lǐshìhuì,理事會lǐshìhuì,2,8,
很好hěnhǎo,很好hěnhǎo,2,6,
乘客chéngkè,乘客chéngkè,2,7,
奧ào,奧ào,2,2,
情侶qínglǚ,情侶qínglǚ,2,6,
債務zhàiwù,債務zhàiwù,2,6,
開kāi,開kāi,2,3,
停運tíngyùn,停運tíngyùn,2,7,
殺shā,殺shā,2,3,
賺取zhuànqǔ,賺取zhuànqǔ,2,7,
嚴重yánzhòng,嚴重yánzhòng,2,8,
廣播guǎngbō,廣播guǎngbō,2,7,
考慮kǎolǜ,考慮kǎolǜ,2,5,
加入jiārù,加入jiārù,2,5,
飛行fēixíng,飛行fēixíng,2,7,
編輯biānjí,編輯biānjí,2,6,
接收jiēshōu,接收jiēshōu,2,7,
發電機fādiànjī,發電機fādiànjī,2,8,
拿破崙nápòlún,拿破崙nápòlún,2,7,
東南dōngnán,東南dōngnán,1,7,
塞薩利sāisàlì,塞薩利sāisàlì,1,7,
種植zhǒngzhí,種植zhǒngzhí,1,8,
柏林bǎi bólín,柏林bǎi bólín,1,9,
最早zuìzǎo,最早zuìzǎo,1,6,
粉芭蕉fěnbājiāo,粉芭蕉fěnbājiāo,1,9,
基里繆爾jīlǐmóuěr,基里繆爾jīlǐmóuěr,1,9,
崇拜chóngbài,崇拜chóngbài,1,8,
卡瑞卡拉kǎruìkǎlā,卡瑞卡拉kǎruìkǎlā,1,9,
諾丁漢nuòdīnghàn,諾丁漢nuòdīnghàn,1,10,
招聘zhāopìn,招聘zhāopìn,1,7,
日報rìbào,日報rìbào,1,5,
巧合qiǎohé,巧合qiǎohé,1,6,
備受bèishòu,備受bèishòu,1,7,
版bǎn,版bǎn,1,3,
南面nánmiàn,南面nánmiàn,1,7,
