,word,frequency,length,romanized_form
派遣,派遣,3,5,Haken
運河,運河,3,4,Unga
命,命,3,5,Inoti
ザ,ザ,3,2,Za
にて,にて,3,4,Nite
所有,所有,3,6,Syoyuu
スターリン,スターリン,3,8,Sutaarin
湖,湖,3,2,Ko
良い,良い,3,3,Yoi
ユーザー,ユーザー,3,6,Yuuzaa
職場,職場,3,7,Syokuba
言わ,言わ,3,3,Iwa
資本,資本,3,5,Sihon
いれ,いれ,3,3,Ire
事業,事業,3,6,Zigyou
表現,表現,3,7,Hyougen
数字,数字,3,5,Suuzi
エピソード,エピソード,3,8,Episoodo
かつて,かつて,3,6,Katute
勢力,勢力,3,8,Seiryoku
共,共,3,4,Tomo
春,春,3,4,Haru
風,風,3,3,Huu
ゴルフ,ゴルフ,3,6,Goruhu
ブリスベン,ブリスベン,3,9,Burisuben
伝え,伝え,3,5,Tutae
過ぎ,過ぎ,3,4,Sugi
テレビ,テレビ,3,6,Terebi
パレード,パレード,3,7,Pareedo
開催,開催,3,6,Kaisai
深く,深く,3,6,Hukaku
スタイル,スタイル,3,7,Sutairu
驚き,驚き,3,7,Odoroki
少ない,少ない,3,7,Sukunai
本当,本当,3,5,Honto
撮影,撮影,3,6,Satuei
選出,選出,3,8,Sensyutu
ヒット,ヒット,3,5,Hitto
士,士,3,2,Si
卿,卿,3,4,Kyou
もたらさ,もたらさ,3,8,Motarasa
不在,不在,3,5,Huzai
例,例,3,3,Rei
予想,予想,3,5,Yosou
闘争,闘争,3,6,Tousou
始まる,始まる,3,8,Hazimaru
拡大,拡大,3,7,Kakudai
相当,相当,3,6,Soutou
大きく,大きく,3,6,Ookiku
実行,実行,3,6,Zikkou
衝撃,衝撃,3,8,Syougeki
及び,及び,3,5,Oyobi
関税,関税,3,6,Kanzei
エネルギー,エネルギー,3,8,Enerugii
マヤ,マヤ,3,4,Maya
精神,精神,3,6,Seisin
ターゲット,ターゲット,3,8,Taagetto
作る,作る,3,6,Tukuru
手段,手段,3,6,Syudan
前線,前線,3,6,Zensen
医療,医療,3,5,Iryou
付け加え,付け加え,3,9,Tukekuwae
財政,財政,3,6,Zaisei
シリーズ,シリーズ,3,7,Siriizu
認識,認識,3,7,Ninsiki
行い,行い,3,6,Okonai
取っ,取っ,3,2,To
回,回,3,3,Kai
夢,夢,3,4,Yume
番組,番組,3,7,Bangumi
三島,三島,3,6,Santou
ランドマーク,ランドマーク,3,10,Randomaaku
作詞,作詞,3,6,Sakusi
中華,中華,3,6,Tyuuka
埋葬,埋葬,3,6,Maisou
組合,組合,3,6,Kumiai
太平,太平,3,6,Taihei
ディーゼル,ディーゼル,3,7,Diizeru
カップ,カップ,3,5,Kappu
改宗,改宗,3,7,Kaisyuu
徒,徒,3,2,To
隊,隊,3,3,Tai
パイロット,パイロット,3,8,Pairotto
むしろ,むしろ,3,6,Musiro
後者,後者,3,6,Kousya
プレート,プレート,3,7,Pureeto
登場,登場,3,7,Touzyou
選手,選手,3,6,Sensyu
圧力,圧力,3,8,Aturyoku
南部,南部,3,5,Nanbu
評判,評判,3,7,Hyouban
晩年,晩年,3,6,Bannen
世論,世論,3,5,Yoron
通じ,通じ,3,5,Tuuzi
着陸,着陸,3,9,Tyakuriku
イングランド,イングランド,3,9,Ingurando
もはや,もはや,3,6,Mohaya
最良,最良,3,7,Sairyou
サハラ,サハラ,3,6,Sahara
止める,止める,3,6,Tomeru
世代,世代,3,5,Sedai
似,似,3,2,Ni
戦後,戦後,3,5,Sengo
はじめ,はじめ,3,6,Hazime
レーダー,レーダー,3,6,Reedaa
古典,古典,3,5,Koten
働い,働い,3,7,Hatarai
過ごし,過ごし,3,6,Sugosi
サービス,サービス,3,7,Saabisu
越え,越え,3,3,Koe
ヒッチコック,ヒッチコック,3,11,Hitti kokku
製作,製作,3,7,Seisaku
抗議,抗議,3,5,Kougi
自国,自国,3,6,Zikoku
協議,協議,3,6,Kyougi
強調,強調,3,8,Kyoutyou
物質,物質,3,7,Bussitu
リリース,リリース,3,7,Ririisu
キュリー,キュリー,3,6,Kyurii
業,業,3,4,Gyou
受け入れ,受け入れ,3,6,Ukeire
フィンランド,フィンランド,3,8,Hinrando
トラキア,トラキア,3,7,Torakia
いつ,いつ,3,3,Itu
カード,カード,3,5,Kaado
バルカン,バルカン,3,7,Barukan
値,値,3,4,Atai
アテネ,アテネ,3,5,Atene
プリンセス,プリンセス,3,9,Purinsesu
ジャスミン,ジャスミン,3,8,Zyasumin
伯爵,伯爵,3,9,Hakusyaku
人種,人種,3,6,Zinsyu
価格,価格,3,6,Kakaku
オスカー,オスカー,3,6,Osukaa
族,族,3,4,Zoku
名誉,名誉,3,5,Meiyo
なし,なし,3,4,Nasi
列強,列強,3,7,Rekkyou
低地,低地,3,5,Teiti
含ん,含ん,3,5,Hukun
唯一,唯一,3,6,Yuiitu
判断,判断,3,6,Handan
アイスランド,アイスランド,3,10,Aisu rando
十分,十分,3,7,Zyuubun
後年,後年,3,6,Kounen
内戦,内戦,3,6,Naisen
分類,分類,3,6,Bunrui
答え,答え,3,5,Kotae
首都,首都,3,5,Syuto
空気,空気,3,5,Kuuki
共有,共有,3,7,Kyouyuu
カロライナ,カロライナ,3,9,Karoraina
離れ,離れ,3,6,Hanare
優先,優先,3,6,Yuusen
終了,終了,3,8,Syuuryou
特別,特別,3,8,Tokubetu
監視,監視,3,5,Kansi
渡り,渡り,3,6,Watari
炭素,炭素,3,5,Tanso
病院,病院,3,6,Byouin
安定,安定,3,5,Antei
攻撃,攻撃,3,7,Kougeki
導く,導く,3,8,Mitibiku
探し,探し,3,6,Sagasi
判決,判決,3,7,Hanketu
招待,招待,3,7,Syoutai
全国,全国,3,7,Zenkoku
保証,保証,3,6,Hosyou
推定,推定,3,6,Suitei
欠け,欠け,3,4,Kake
選ん,選ん,3,4,Eran
祖母,祖母,3,4,Sobo
送っ,送っ,3,3,Oku
送信,送信,3,6,Sousin
民間,民間,3,6,Minkan
課す,課す,3,4,Kasu
国々,国々,3,8,Kuniguni
類似,類似,3,5,Ruizi
引き起こす,引き起こす,3,9,Hikiokosu
学習,学習,3,8,Gakusyuu
内容,内容,3,6,Naiyou
収集,収集,3,8,Syuusyuu
コメント,コメント,3,7,Komento
かかる,かかる,3,6,Kakaru
排出,排出,3,8,Haisyutu
率い,率い,3,5,Hikii
ほんの,ほんの,3,5,Honno
明白,明白,3,7,Meihaku
火曜,火曜,3,5,Kayou
建物,建物,3,8,Tatemono
給,給,3,4,Kyuu
業績,業績,3,8,Gyouseki
期待,期待,3,5,Kitai
根本,根本,3,6,Konpon
避妊,避妊,3,5,Hinin
反対,反対,3,6,Hantai
能力,能力,3,8,Nouryoku
条件,条件,3,7,Zyouken
コース,コース,3,5,Koosu
指摘,指摘,3,6,Siteki
見つける,見つける,3,8,Mitukeru
機関,機関,3,5,Kikan
推測,推測,3,7,Suisoku
意図,意図,3,3,Ito
助け,助け,3,6,Tasuke
積極,積極,3,8,Sekkyoku
スコットランド,スコットランド,3,12,Sukottorando
今週,今週,3,7,Konsyuu
アカデミー,アカデミー,3,8,Akademii
有名,有名,3,6,Yuumei
当初,当初,3,6,Tousyo
かなり,かなり,3,6,Kanari
市内,市内,3,5,Sinai
立つ,立つ,3,4,Tatu
レビュー,レビュー,3,6,Rebyuu
部門,部門,3,5,Bumon
競争,競争,3,7,Kyousou
マーケット,マーケット,3,8,Maaketto
雇用,雇用,3,5,Koyou
自ら,自ら,3,8,Mizukara
テクノロジー,テクノロジー,3,11,Tekunorozii
旅,旅,3,4,Tabi
環境,環境,3,7,Kankyou
海外,海外,3,6,Kaigai
変える,変える,3,5,Kaeru
国内,国内,3,7,Kokunai
締結,締結,3,7,Teiketu
いずれ,いずれ,3,5,Izure
示唆,示唆,3,4,Sisa
ブランド,ブランド,3,7,Burando
ポール,ポール,3,5,Pooru
今年,今年,3,6,Kotosi
非,非,3,2,Hi
デジタル,デジタル,3,8,Dezitaru
協力,協力,3,9,Kyouryoku
海岸,海岸,3,6,Kaigan
上回る,上回る,3,9,Uwamawaru
様子,様子,3,5,Yousu
製品,製品,3,6,Seihin
しまっ,しまっ,3,4,Sima
各,各,3,4,Kaku
総,総,3,3,Sou
代理,代理,3,5,Dairi
メッセージ,メッセージ,3,8,Messeezi
イベント,イベント,3,6,Ibento
選択,選択,3,7,Sentaku
貢献,貢献,3,6,Kouken
アラスカ,アラスカ,2,7,Arasuka
広がる,広がる,2,8,Hirogaru
カデシュ,カデシュ,2,7,Kadesyu
比べ,比べ,2,6,Kurabe
地面,地面,2,5,Zimen
急進,急進,2,7,Kyuusin
ステップ,ステップ,2,7,Suteppu
現金,現金,2,6,Genkin
裁定,裁定,2,6,Saitei
社,社,2,3,Sya
現,現,2,3,Gen
しまい,しまい,2,5,Simai
わかる,わかる,2,6,Wakaru
周辺,周辺,2,7,Syuuhen
疑問,疑問,2,5,Gimon
丘陵,丘陵,2,8,Kyuuryou
まさに,まさに,2,7,Masa ni
すぎる,すぎる,2,6,Sugiru
スウェーデン,スウェーデン,2,7,Sueeden
宣告,宣告,2,7,Senkoku
躊躇,躊躇,2,7,Tyuutyo
ラテンアメリカ,ラテンアメリカ,2,13,Raten'Amerika
ユニット,ユニット,2,7,Yunitto
カタラーノ,カタラーノ,2,9,Kataraano
演劇,演劇,2,6,Engeki
波,波,2,4,Nami
果たし,果たし,2,6,Hatasi
当然,当然,2,6,Touzen
露出,露出,2,7,Rosyutu
リスト,リスト,2,6,Risuto
恐ろしい,恐ろしい,2,8,Osorosii
極端,極端,2,8,Kyokutan
介入,介入,2,7,Kainyuu
突然,突然,2,7,Totuzen
対抗,対抗,2,6,Taikou
出会っ,出会っ,2,3,Dea
例えば,例えば,2,7,Tatoeba
生産,生産,2,6,Seisan
コード,コード,2,5,Koodo
ペア,ペア,2,3,Pea
料金,料金,2,7,Ryoukin
多,多,2,2,Ta
立法,立法,2,6,Rippou
統一,統一,2,6,Touitu
雨,雨,2,3,Ame
葉,葉,2,2,Ha
連れ,連れ,2,4,Ture
ドレス,ドレス,2,6,Doresu
廃止,廃止,2,5,Haisi
新,新,2,3,Sin
超え,超え,2,3,Koe
忠誠,忠誠,2,7,Tyuusei
カヌー,カヌー,2,5,Kanuu
就労,就労,2,7,Syuurou
信念,信念,2,6,Sinnen
通っ,通っ,2,3,Too
多大,多大,2,5,Tadai
驚く,驚く,2,7,Odoroku
雲,雲,2,4,Kumo
クライン,クライン,2,6,Kurain
肺,肺,2,3,Hai
ジェームス,ジェームス,2,7,Zeemusu
像,像,2,4,Goto
商品,商品,2,7,Syouhin
嵐,嵐,2,5,Arasi
砂塵,砂塵,2,5,Sazin
プロセス,プロセス,2,8,Purosesu
失敗,失敗,2,6,Sippai
博士,博士,2,6,Hakase
機械,機械,2,5,Kikai
市民,市民,2,5,Simin
米,米,2,4,Kome
顕著,顕著,2,6,Kentyo
子孫,子孫,2,5,Sison
ラビング,ラビング,2,7,Rabingu
対策,対策,2,7,Taisaku
進む,進む,2,6,Susumu
ノルウェー,ノルウェー,2,6,Noruee
アルバレス,アルバレス,2,9,Arubaresu
食物,食物,2,9,Syokumotu
記事,記事,2,4,Kizi
数々,数々,2,8,Kazukazu
今朝,今朝,2,4,Kesa
アボッツフォード,アボッツフォード,2,11,Abottuhoodo
職人,職人,2,8,Syokunin
高地,高地,2,5,Kouti
才能,才能,2,6,Sainou
示さ,示さ,2,6,Simesa
マーク,マーク,2,5,Maaku
衰え,衰え,2,6,Otoroe
タイトル,タイトル,2,7,Taitoru
織物,織物,2,7,Orimono
空間,空間,2,6,Kuukan
リード,リード,2,5,Riido
大好き,大好き,2,7,Daisuki
論者,論者,2,6,Ronsya
役立つ,役立つ,2,8,Yakudatu
ツイッター,ツイッター,2,7,Tuittaa
結ん,結ん,2,5,Musun
ケープタウン,ケープタウン,2,10,Keepu taun
づけ,づけ,2,4,Zuke
入植,入植,2,9,Nyuusyoku
サーミ,サーミ,2,5,Saami
没落,没落,2,8,Boturaku
禁止,禁止,2,5,Kinsi
つもり,つもり,2,6,Tumori
諸,諸,2,3,Syo
チャット,チャット,2,6,Tyatto
全土,全土,2,5,Zendo
広大,広大,2,6,Koudai
崩壊,崩壊,2,6,Houkai
状,状,2,4,Zyou
王朝,王朝,2,6,Outyou
よく,よく,2,4,Yoku
警官,警官,2,6,Keikan
国立,国立,2,8,Kokuritu
最悪,最悪,2,6,Saiaku
見なす,見なす,2,6,Minasu
ディスプレイ,ディスプレイ,2,9,Disupurei
熟練,熟練,2,8,Zyukuren
救っ,救っ,2,4,Suku
絵,絵,2,1,E
送り,送り,2,5,Okuri
編集,編集,2,7,Hensyuu
急速,急速,2,8,Kyuusoku
制作,制作,2,7,Seisaku
ポイント,ポイント,2,6,Pointo
土曜,土曜,2,5,Doyou
組む,組む,2,4,Kumu
ヘルツル,ヘルツル,2,8,Heruturu
かかっ,かかっ,2,4,Kaka
許さ,許さ,2,6,Yurusa
溶かし,溶かし,2,6,Tokasi
化学,化学,2,6,Kagaku
衝突,衝突,2,8,Syoutotu
館,館,2,6,Yakata
別々,別々,2,8,Betubetu
スポークスマン,スポークスマン,2,12,Supookusuman
グレード,グレード,2,7,Gureedo
女史,女史,2,5,Zyosi
数十,数十,2,7,Suuzyuu
ピュー,ピュー,2,4,Pyuu
効果,効果,2,5,Kouka
つつ,つつ,2,4,Tutu
満州,満州,2,7,Mansyuu
水上,水上,2,7,Suizyou
機密,機密,2,6,Kimitu
プレイス,プレイス,2,7,Pureisu
周囲,周囲,2,5,Syuui
示す,示す,2,6,Simesu
運動,運動,2,5,Undou
大気,大気,2,5,Taiki
学ん,学ん,2,5,Manan
生徒,生徒,2,5,Seito
精巧,精巧,2,6,Seikou
ポスター,ポスター,2,7,Posutaa
店,店,2,3,Ten
教える,教える,2,6,Osieru
プロジェクト,プロジェクト,2,10,Purozekuto
民国,民国,2,7,Minkoku
備え,備え,2,5,Sonae
ケルト,ケルト,2,6,Keruto
峡谷,峡谷,2,8,Kyoukoku
タラ,タラ,2,4,Tara
アイルランド,アイルランド,2,9,Airurando
承認,承認,2,7,Syounin
圧倒,圧倒,2,5,Attou
グラスゴー,グラスゴー,2,10,Gurasu goo
治療,治療,2,6,Tiryou
受ける,受ける,2,5,Ukeru
タルロ,タルロ,2,7,Ta ruro
姿勢,姿勢,2,5,Sisei
ソーシャル,ソーシャル,2,8,Soosyaru
アルコール,アルコール,2,8,Arukooru
アシスタント,アシスタント,2,10,Asisutanto
ワイン,ワイン,2,4,Wain
ソフト,ソフト,2,6,Sohuto
観点,観点,2,6,Kanten
れれ,れれ,2,4,Rere
グループ,グループ,2,7,Guruupu
出馬,出馬,2,7,Syutuba
反応,反応,2,6,Hannou
作っ,作っ,2,4,Tuku
セガール,セガール,2,7,Segaaru
加盟,加盟,2,5,Kamei
コンサート,コンサート,2,8,Konsaato
飛行,飛行,2,5,Hikou
あるいは,あるいは,2,6,Aruiha
保守,保守,2,5,Hosyu
カンザス,カンザス,2,7,Kanzasu
ドラマ,ドラマ,2,6,Dorama
死,死,2,2,Si
日曜,日曜,2,7,Nitiyou
流入,流入,2,8,Ryuunyuu
扱う,扱う,2,6,Atukau
終わっ,終わっ,2,3,Owa
北西,北西,2,7,Hokusei
ファシスト,ファシスト,2,8,Hasisuto
享受,享受,2,7,Kyouzyu
ロイヤル,ロイヤル,2,7,Roiyaru
ゲイヤー,ゲイヤー,2,7,Ge iyaa
父親,父親,2,7,Titioya
勤務,勤務,2,5,Kinmu
流出,流出,2,9,Ryuusyutu
迎え,迎え,2,5,Mukae
グランド,グランド,2,7,Gurando
アナリスト,アナリスト,2,9,Anarisuto
水力,水力,2,8,Suiryoku
いかに,いかに,2,5,Ikani
界,界,2,3,Kai
当,当,2,5,Atari
首,首,2,4,Kubi
解決,解決,2,7,Kaiketu
ヤシ,ヤシ,2,4,Yasi
起こる,起こる,2,5,Okoru
全,全,2,3,Zen
儀式,儀式,2,6,Gisiki
発言,発言,2,7,Hatugen
訪れ,訪れ,2,7,Otozure
登録,登録,2,7,Touroku
枝,枝,2,3,Eda
あの,あの,2,3,Ano
まず,まず,2,4,Mazu
ヒル,ヒル,2,4,Hiru
率直,率直,2,8,Sottyoku
解体,解体,2,6,Kaitai
楽曲,楽曲,2,8,Gakkyoku
急,急,2,4,Kyuu
高等,高等,2,6,Koutou
悩まさ,悩まさ,2,8,Nayamasa
阻害,阻害,2,5,Sogai
出,出,2,2,De
白人,白人,2,7,Hakuzin
件,件,2,3,Ken
表面,表面,2,7,Hyoumen
エルドアン,エルドアン,2,7,Erudoan
ジャティング,ジャティング,2,8,Zyatingu
論争,論争,2,6,Ronsou
行き,行き,2,3,Iki
リンク,リンク,2,5,Rinku
ヒラリー,ヒラリー,2,7,Hirarii
ロビイスト,ロビイスト,2,9,Robiisuto
設計,設計,2,6,Sekkei
密接,密接,2,7,Missetu
デザイナー,デザイナー,2,8,Dezainaa
重,重,2,1,E
バローゾ,バローゾ,2,7,Baroozo
バンド,バンド,2,5,Bando
徴収,徴収,2,8,Tyousyuu
解任,解任,2,6,Kainin
ドナウ,ドナウ,2,5,Donau
行為,行為,2,4,Koui
発達,発達,2,7,Hattatu
会い,会い,2,2,Ai
率いる,率いる,2,7,Hikiiru
西部,西部,2,5,Seibu
地形,地形,2,5,Tikei
ドス,ドス,2,4,Dosu
偉業,偉業,2,5,Igyou
魅力,魅力,2,7,Miryoku
平野,平野,2,5,Heiya
ラブーフ,ラブーフ,2,7,Rabuuhu
属し,属し,2,6,Zokusi
ウクライナ,ウクライナ,2,8,Ukuraina
パフォーマンス,パフォーマンス,2,10,Pahoomansu
レーベル,レーベル,2,7,Reeberu
ジョージ,ジョージ,2,6,Zyoozi
入れ,入れ,2,3,Ire
思っ,思っ,2,3,Omo
側,側,2,4,Gawa
気づい,気づい,2,5,Kizui
こそ,こそ,2,4,Koso
弟,弟,2,6,Otouto
デルタ,デルタ,2,6,Deruta
コットン,コットン,2,6,Kotton
パーティ,パーティ,2,5,Paati
入り,入り,2,3,Iri
人物,人物,2,7,Zinbutu
チャンピオン,チャンピオン,2,8,Tyanpion
続い,続い,2,5,Tuzui
ジム,ジム,2,4,Zimu
フォルクスワーゲン,フォルクスワーゲン,2,14,Horukusuwaagen
欧州,欧州,2,6,Ousyuu
兄弟,兄弟,2,7,Kyoudai
見つけ,見つけ,2,6,Mituke
マーティン,マーティン,2,6,Maatin
ウィンターコルン,ウィンターコルン,2,11,Intaa korun
トラック,トラック,2,7,Torakku
韓国,韓国,2,7,Kankoku
措置,措置,2,4,Soti
始まり,始まり,2,8,Hazimari
読む,読む,2,4,Yomu
分野,分野,2,6,Bun'ya
長年,長年,2,7,Naganen
ルート,ルート,2,5,Ruuto
取締,取締,2,10,Torisimari
生態,生態,2,6,Seitai
サンタ,サンタ,2,5,Santa
良好,良好,2,7,Ryoukou
法王,法王,2,5,Houou
あらゆる,あらゆる,2,7,Arayuru
増大,増大,2,6,Zoudai
コスト,コスト,2,6,Kosuto
上位,上位,2,5,Zyoui
ストリート,ストリート,2,9,Sutoriito
収入,収入,2,8,Syuunyuu
長い,長い,2,5,Nagai
ミュージカル,ミュージカル,2,10,Myuuzikaru
あたり,あたり,2,5,Atari
取り組み,取り組み,2,8,Torikumi
複数,複数,2,7,Hukusuu
表し,表し,2,7,Arawasi
薬,薬,2,6,Kusuri
妥協,妥協,2,6,Dakyou
扱わ,扱わ,2,7,Atukawa
南米,南米,2,6,Nanbei
間違い,間違い,2,7,Matigai
債,債,2,3,Sai
アンディ,アンディ,2,4,Andi
ホルモン,ホルモン,2,7,Horumon
リーダー,リーダー,2,6,Riidaa
広告,広告,2,7,Koukoku
思い,思い,2,4,Omoi
エディンバラ,エディンバラ,2,8,Edinbara
スポンサー,スポンサー,2,8,Suponsaa
危険,危険,2,5,Kiken
余儀,余儀,2,4,Yogi
ミス,ミス,2,4,Misu
大幅,大幅,2,6,Oohaba
スーパー,スーパー,2,6,Suupaa
排除,排除,2,6,Haizyo
マグマ,マグマ,2,6,Maguma
終わり,終わり,2,5,Owari
頭,頭,2,5,Atama
交通,交通,2,6,Koutuu
チーム,チーム,2,5,Tiimu
優勢,優勢,2,6,Yuusei
恩恵,恩恵,2,5,Onkei
一員,一員,2,5,Itiin
廃棄,廃棄,2,5,Haiki
ポーランド,ポーランド,2,8,Poorando
靴,靴,2,4,Kutu
住民,住民,2,7,Zyuumin
回避,回避,2,5,Kaihi
私的,私的,2,12,Watakusiteki
体制,体制,2,6,Taisei
アンセルミ,アンセルミ,2,8,Anserumi
ティナ,ティナ,2,4,Tina
黒海,黒海,2,6,Kokkai
フロリダ,フロリダ,2,8,Hurorida
北海,北海,2,6,Hokkai
取ら,取ら,2,4,Tora
近隣,近隣,2,6,Kinrin
ラグーン,ラグーン,2,6,Raguun
スタジオ,スタジオ,2,7,Sutazio
クラブ,クラブ,2,6,Kurabu
障害,障害,2,7,Syougai
支払う,支払う,2,7,Siharau
経営,経営,2,5,Keiei
フェニキア,フェニキア,2,7,Henikia
アウグストゥス,アウグストゥス,2,10,Augusutusu
終え,終え,2,2,Oe
変動,変動,2,6,Hendou
上がる,上がる,2,5,Agaru
作,作,2,4,Saku
閉鎖,閉鎖,2,5,Heisa
広報,広報,2,6,Kouhou
製,製,2,3,Sei
部品,部品,2,5,Buhin
ファンド,ファンド,2,5,Hando
採択,採択,2,7,Saitaku
フィクション,フィクション,2,8,Hikusyon
ごと,ごと,2,4,Goto
リットル,リットル,2,7,Rittoru
プレミアム,プレミアム,2,9,Puremiamu
社債,社債,2,6,Syasai
普通,普通,2,5,Hutuu
木製,木製,2,7,Mokusei
トーマス,トーマス,2,7,Toomasu
調達,調達,2,8,Tyoutatu
創設,創設,2,7,Sousetu
団,団,2,3,Dan
記録,記録,2,6,Kiroku
スキャンダル,スキャンダル,2,10,Sukyandaru
展開,展開,2,6,Tenkai
プロデューサー,プロデューサー,2,11,Purodyuusaa
反,反,2,3,Han
たる,たる,2,4,Taru
異なる,異なる,2,8,Kotonaru
事,事,2,4,Koto
依頼,依頼,2,4,Irai
譲渡,譲渡,2,6,Zyouto
掲載,掲載,2,6,Keisai
作り出す,作り出す,2,10,Tukuridasu
ナポレオン,ナポレオン,2,8,Naporeon
ベニス,ベニス,2,6,Benisu
ヨーク,ヨーク,2,5,Yooku
実験,実験,2,6,Zikken
パルマ,パルマ,2,6,Paruma
貴族,貴族,2,6,Kizoku
バージョン,バージョン,2,7,Baazyon
保つ,保つ,2,6,Tamotu
広範,広範,2,6,Kouhan
称号,称号,2,7,Syougou
賞与,賞与,2,6,Syouyo
園,園,2,2,En
行政,行政,2,7,Gyousei
コマーシャル,コマーシャル,2,10,Komaasyaru
委員,委員,2,3,Iin
キューバ,キューバ,2,6,Kyuuba
育て,育て,2,6,Sodate
明るみ,明るみ,2,7,Akarumi
対象,対象,2,7,Taisyou
証拠,証拠,2,6,Syouko
業務,業務,2,6,Gyoumu
うまく,うまく,2,5,Umaku
西側,西側,2,8,Nisigawa
ヒスパニア,ヒスパニア,2,9,Hisupania
ニコライ,ニコライ,2,7,Nikorai
日間,日間,2,5,Kakan
シーズン,シーズン,2,6,Siizun
モリコーネ,モリコーネ,2,9,Morikoone
ひとりぼっち,ひとりぼっち,2,11,Hitoribotti
測定,測定,2,7,Sokutei
カレル,カレル,2,6,Kareru
強力,強力,2,9,Kyouryoku
ジャーナリスト,ジャーナリスト,2,12,Zyaanarisuto
エル,エル,2,3,Eru
団体,団体,2,6,Dantai
優勝,優勝,2,7,Yuusyou
モナコ,モナコ,2,6,Monako
ジョセフ,ジョセフ,2,7,Zyosehu
満月,満月,2,7,Mangetu
侵略,侵略,2,8,Sinryaku
助ける,助ける,2,8,Tasukeru
統計,統計,2,6,Toukei
挑戦,挑戦,2,7,Tyousen
釈放,釈放,2,8,Syakuhou
地図,地図,2,4,Tizu
干支,干支,2,3,Eto
考える,考える,2,8,Kangaeru
旧暦,旧暦,2,8,Kyuureki
想像,想像,2,6,Souzou
保存,保存,2,5,Hozon
さらなる,さらなる,2,8,Saranaru
フォード,フォード,2,5,Hoodo
平壌,平壌,2,8,Pyon'Yan
有権,有権,2,6,Yuuken
記さ,記さ,2,6,Sirusa
メートル,メートル,2,7,Meetoru
医師,医師,2,3,Isi
小型,小型,2,6,Kogata
失わ,失わ,2,7,Usinawa
鉄道,鉄道,2,7,Tetudou
クリスチャン,クリスチャン,2,10,Kurisutyan
温暖,温暖,2,5,Ondan
広く,広く,2,6,Hiroku
慣習,慣習,2,7,Kansyuu
豊か,豊か,2,6,Yutaka
焼失,焼失,2,8,Syousitu
木曜,木曜,2,7,Mokuyou
競馬,競馬,2,5,Keiba
設定,設定,2,6,Settei
ロケット,ロケット,2,7,Roketto
変わり,変わり,2,6,Kawari
大臣,大臣,2,6,Daizin
家畜,家畜,2,6,Katiku
アルドリン,アルドリン,2,8,Arudorin
浮き彫り,浮き彫り,2,7,Ukibori
金額,金額,2,7,Kingaku
受け取っ,受け取っ,2,5,Uketo
か月,か月,2,6,Kagetu
シチリア,シチリア,2,7,Sitiria
カルロス,カルロス,2,8,Karurosu
壁,壁,2,4,Kabe
却下,却下,2,6,Kyakka
ほか,ほか,2,4,Hoka
ナイル,ナイル,2,6,Nai ru
亡くなる,亡くなる,2,8,Nakunaru
構築,構築,2,7,Koutiku
引用,引用,2,6,In'you
捜査,捜査,2,5,Sousa
栽培,栽培,2,6,Saibai
再,再,2,3,Sai
版,版,2,3,Ban
発行,発行,2,6,Hakkou
死刑,死刑,2,5,Sikei
相違,相違,2,4,Soui
裏付ける,裏付ける,2,9,Urazukeru
サラ,サラ,2,4,Sara
夜,夜,2,4,Yoru
分割,分割,2,7,Bunkatu
選,選,2,3,Sen
頼っ,頼っ,2,4,Tayo
効く,効く,2,4,Kiku
本人,本人,2,6,Honnin
いくら,いくら,2,5,Ikura
スパルタ,スパルタ,2,8,Suparuta
リーヴ,リーヴ,2,5,Riivu
たった,たった,2,5,Tatta
穀物,穀物,2,8,Kokumotu
割合,割合,2,6,Wariai
所得,所得,2,7,Syotoku
美,美,2,2,Bi
基準,基準,2,6,Kizyun
取り入れる,取り入れる,2,9,Toriireru
放棄,放棄,2,5,Houki
住宅,住宅,2,8,Zyuutaku
故,故,2,2,Ko
変遷,変遷,2,6,Hensen
輸入,輸入,2,6,Yunyuu
守ら,守ら,2,6,Mamora
ラボ,ラボ,2,4,Rabo
ファースト,ファースト,2,7,Haasuto
非難,非難,2,5,Hinan
赤ん坊,赤ん坊,2,7,Akanbou
日常,日常,2,8,Nitizyou
死亡,死亡,2,5,Sibou
銃撃,銃撃,2,8,Zyuugeki
洗礼,洗礼,2,6,Senrei
ヘモグロビン,ヘモグロビン,2,11,Hemogurobin
肢,肢,2,2,Si
生成,生成,2,6,Seisei
局,局,2,5,Kyoku
定期,定期,2,5,Teiki
アントニオ,アントニオ,2,7,Antonio
マルコ,マルコ,2,6,Maruko
追放,追放,2,6,Tuihou
地位,地位,2,3,Tii
出発,出発,2,8,Syuppatu
アラブ,アラブ,2,5,Arabu
約束,約束,2,8,Yakusoku
海峡,海峡,2,7,Kaikyou
子,子,2,2,Ko
ポンペイウス,ポンペイウス,2,9,Ponpeiusu
生存,生存,2,6,Seizon
手術,手術,2,8,Syuzyutu
事務,事務,2,4,Zimu
着実,着実,2,9,Tyakuzitu
フィリッポス,フィリッポス,2,9,Hiripposu
大麻,大麻,2,5,Taima
低下,低下,2,5,Teika
高く,高く,2,6,Takaku
具体,具体,2,5,Gutai
参入,参入,2,7,Sannyuu
規定,規定,2,5,Kitei
サウスシー,サウスシー,2,8,Saususii
規則,規則,2,6,Kisoku
堂,堂,2,3,Dou
礼拝,礼拝,2,6,Reihai
豚,豚,2,4,Buta
