,word,frequency,n_characters,romanized_form
侵略,侵略,3,6,qīnlüè
般,般,3,3,bān
確定,確定,3,7,quèdìng
康復,康復,3,6,kāngfù
巨大,巨大,3,4,jùdà
糟糕,糟糕,3,6,zāogāo
柴油,柴油,3,7,cháiyóu
興趣,興趣,3,6,xìngqù
禁止,禁止,3,6,jìnzhǐ
大國,大國,3,5,dàguó
西部,西部,3,4,xībù
反應,反應,3,7,fǎnyīng
資格,資格,3,4,zīgé
阻止,阻止,3,5,zǔzhǐ
解決,解決,3,6,jiějué
財政,財政,3,8,cáizhèng
定居,定居,3,6,dìngjū
東部,東部,3,6,dōngbù
角色,角色,3,6,jiǎosè
六十,六十,3,6,liùshí
擊敗,擊敗,3,5,jībài
議會,議會,3,5,yìhuì
自治,自治,3,5,zìzhì
引發,引發,3,5,yǐnfā
一般,一般,3,5,yībān
分類法,分類法,3,8,fēnlèifǎ
措施,措施,3,6,cuòshī
席,席,3,2,xí
凱莎,凱莎,3,6,kǎishā
一定,一定,3,6,yīdìng
歐盟,歐盟,3,6,ōuméng
選民,選民,3,7,xuǎnmín
截,截,3,3,jié
條件,條件,3,8,tiáojiàn
當作,當作,3,7,dāngzuò
溫斯頓,溫斯頓,3,8,wēnsīdùn
奧地利,奧地利,3,9,àode dìlì
地表,地表,3,9,de dìbiǎo
乾旱,乾旱,3,11,qián gānhàn
民主黨,民主黨,3,10,mínzhǔdǎng
賴特,賴特,3,5,làitè
展覽,展覽,3,7,zhǎnlǎn
態度,態度,3,5,tàidù
在位,在位,3,6,zàiwèi
業務,業務,3,4,yèwù
製造,製造,3,6,zhìzào
慶典,慶典,3,8,qìngdiǎn
男人,男人,3,6,nánrén
競選,競選,3,8,jìngxuǎn
風格,風格,3,6,fēnggé
瑞士,瑞士,3,6,ruìshì
當中,當中,3,9,dāngzhōng
每升,每升,3,8,měishēng
支付,支付,3,5,zhīfù
學者,學者,3,6,xuézhě
丹麥,丹麥,3,6,dānmài
釋放,釋放,3,7,shìfàng
雅典,雅典,3,6,yǎdiǎn
關鍵,關鍵,3,8,guānjiàn
對待,對待,3,6,duìdài
高加索,高加索,3,9,gāojiāsuǒ
排除,排除,3,6,páichú
居里,居里,3,4,jūlǐ
阿契美尼德,阿契美尼德,3,10,āqìměinídé
爆發,爆發,3,5,bàofā
回歸,回歸,3,6,huíguī
某,某,3,3,mǒu
約瑟夫,約瑟夫,3,7,yuēsèfū
突然,突然,3,5,tūrán
最好,最好,3,6,zuìhǎo
農業,農業,3,6,nóngyè
用地,用地,3,9,yòngde dì
地標,地標,3,9,de dìbiāo
約翰,約翰,3,6,yuēhàn
大廈,大廈,3,5,dàshà
城鎮化,城鎮化,3,12,chéngzhènhuà
互聯網,互聯網,3,10,hùliánwǎng
巴布亞,巴布亞,3,6,bābùyà
穀物,穀物,3,4,gǔwù
阿爾卑斯,阿爾卑斯,3,8,āěrbēisī
新幾內亞,新幾內亞,3,10,xīnjǐnèiyà
反,反,3,3,fǎn
法庭,法庭,3,6,fǎtíng
依賴,依賴,3,5,yīlài
希區柯克,希區柯克,3,8,xīqūkēkè
城邦,城邦,3,9,chéngbāng
工業,工業,3,6,gōngyè
帶領,帶領,3,7,dàilǐng
學院,學院,3,7,xuéyuàn
大使,大使,3,5,dàshǐ
色雷斯,色雷斯,3,7,sèléisī
同意,同意,3,6,tóngyì
表現,表現,3,8,biǎoxiàn
生涯,生涯,3,7,shēngyá
職業,職業,3,5,zhíyè
成立,成立,3,7,chénglì
黨派,黨派,3,7,dǎngpài
以至,以至,3,5,yǐzhì
夢想,夢想,3,9,mèngxiǎng
事情,事情,3,7,shìqíng
大選,大選,3,6,dàxuǎn
發明,發明,3,6,fāmíng
芬蘭語,芬蘭語,3,8,fēnlányǔ
文字,文字,3,5,wénzì
瑞典,瑞典,3,7,ruìdiǎn
不要,不要,3,5,bùyào
主題,主題,3,5,zhǔtí
穩定,穩定,3,7,wěndìng
某種,某種,3,8,mǒuzhǒng
特徵,特徵,3,11,tèzhǐ zhēng
好幾,好幾,3,5,hǎojǐ
投降,投降,3,8,tóujiàng
將軍,將軍,3,8,jiāngjūn
帶,帶,3,3,dài
中華,中華,3,8,zhōnghuá
想像,想像,3,10,xiǎngxiàng
震驚,震驚,3,8,zhènjīng
研究所,研究所,3,9,yánjiūsuǒ
績效,績效,3,6,jīxiào
花費,花費,3,6,huāfèi
帶有,帶有,3,6,dàiyǒu
推進,推進,3,6,tuījìn
二十,二十,3,5,èrshí
答案,答案,3,4,dáàn
疑問,疑問,3,5,yíwèn
女孩,女孩,3,5,nǚhái
高中,高中,3,8,gāozhōng
遊戲,遊戲,3,5,yóuxì
無論,無論,3,5,wúlùn
今年,今年,3,7,jīnnián
菲利普,菲利普,3,7,fēilìpǔ
激增,激增,3,6,jīzēng
豬,豬,3,3,zhū
治療,治療,3,7,zhìliáo
實行,實行,3,7,shíxíng
趨勢,趨勢,3,5,qūshì
博格達汗,博格達汗,3,9,bógédáhàn
諸如,諸如,3,5,zhūrú
殺死,殺死,3,5,shāsǐ
領土,領土,3,6,lǐngtǔ
友誼,友誼,3,5,yǒuyì
有助,有助,3,6,yǒuzhù
立法,立法,3,4,lìfǎ
信仰,信仰,3,7,xìnyǎng
猶太人,猶太人,3,9,yóutàirén
努力,努力,3,4,nǔlì
具體,具體,3,4,jùtǐ
模糊,模糊,3,4,móhú
改革,改革,3,5,gǎigé
面臨,面臨,3,7,miànlín
支出,支出,3,6,zhīchū
難以置信,難以置信,3,11,nányǐzhìxìn
政權,政權,3,9,zhèngquán
團隊,團隊,3,7,tuánduì
同,同,3,4,tóng
會見,會見,3,7,huìjiàn
成員,成員,3,9,chéngyuán
科技,科技,3,4,kējì
總督,總督,3,6,zǒngdū
原本,原本,3,7,yuánběn
之外,之外,3,6,zhīwài
華盛頓,華盛頓,3,11,huáshèngdùn
徵收,徵收,3,13,zhǐ zhēngshōu
舉行,舉行,3,6,jǔxíng
運用,運用,3,7,yùnyòng
課程,課程,3,7,kèchéng
給予,給予,3,5,gěiyǔ
之下,之下,3,6,zhīxià
迫害,迫害,3,5,pòhài
消費者,消費者,3,10,xiāofèizhě
鬥爭,鬥爭,3,8,dòuzhēng
發起,發起,3,4,fāqǐ
法院,法院,3,6,fǎyuàn
重新,重新,3,8,zhòngxīn
命令,命令,3,8,mìnglìng
區,區,3,2,qū
戰場,戰場,3,9,zhànchǎng
明白,明白,3,7,míngbái
海上,海上,3,8,hǎishàng
戰鬥,戰鬥,3,7,zhàndòu
小時,小時,3,7,xiǎoshí
處罰,處罰,3,5,chùfá
攻擊,攻擊,3,6,gōngjī
網站,網站,3,8,wǎngzhàn
實現,實現,3,7,shíxiàn
空氣,空氣,3,6,kōngqì
滿足,滿足,3,5,mǎnzú
內戰,內戰,3,7,nèizhàn
古巴,古巴,3,4,gǔbā
叛亂,叛亂,3,7,pànluàn
奧斯曼人,奧斯曼人,3,10,àosīmànrén
近期,近期,3,5,jìnqī
鼓勵,鼓勵,3,4,gǔlì
排放,排放,3,7,páifàng
不僅,不僅,3,5,bùjǐn
派,派,3,3,pài
意見,意見,3,6,yìjiàn
種子,種子,3,7,zhǒngzi
保羅,保羅,3,6,bǎoluó
公共,公共,3,8,gōnggòng
圖特摩斯,圖特摩斯,3,8,tútèmósī
金,金,3,3,jīn
天主教,天主教,3,11,tiānzhǔjiào
贊助,贊助,3,6,zànzhù
產業,產業,3,6,chǎnyè
伊斯蘭,伊斯蘭,3,7,yīsīlán
公投,公投,3,7,gōngtóu
據說,據說,3,6,jùshuō
奧斯卡,奧斯卡,3,6,àosīkǎ
常見,常見,3,9,chángjiàn
嬰兒,嬰兒,3,6,yīngér
以為,以為,3,5,yǐwèi
重大,重大,3,7,zhòngdà
無,無,3,2,wú
亨利,亨利,3,6,hēnglì
相信,相信,3,8,xiāngxìn
助手,助手,3,7,zhùshǒu
授予,授予,3,6,shòuyǔ
專家,專家,3,8,zhuānjiā
首都,首都,3,10,shǒudōu dū
網絡,網絡,3,7,wǎngluò
祖母,祖母,3,4,zǔmǔ
括,括,3,3,kuò
沈,沈,3,9,shěn chén
郵件,郵件,3,7,yóujiàn
合理,合理,3,4,hélǐ
法老,法老,3,5,fǎlǎo
希拉里,希拉里,3,6,xīlālǐ
皈依,皈依,3,5,guīyī
節日,節日,3,5,jiérì
大戰,大戰,3,6,dàzhàn
採訪,採訪,3,7,cǎifǎng
寫道,寫道,3,6,xiědào
女性,女性,3,6,nǚxìng
王朝,王朝,3,8,wángcháo
氣體,氣體,3,4,qìtǐ
言,言,3,3,yán
奧巴馬,奧巴馬,3,6,àobāmǎ
轉移,轉移,3,7,zhuǎnyí
周,周,3,4,zhōu
亞洲,亞洲,3,6,yàzhōu
言論,言論,3,6,yánlùn
擔憂,擔憂,3,6,dānyōu
原住民,原住民,3,10,yuánzhùmín
設備,設備,3,6,shèbèi
削減,削減,3,7,xuējiǎn
巴拿馬,巴拿馬,3,6,bānámǎ
轉型,轉型,3,9,zhuǎnxíng
頭銜,頭銜,3,7,tóuxián
各種,各種,3,7,gèzhǒng
皇帝,皇帝,3,7,huángdì
南海,南海,3,6,nánhǎi
亞,亞,3,2,yà
宣傳,宣傳,3,9,xuānchuán
合法,合法,3,4,héfǎ
你們,你們,3,5,nǐmen
兄弟們,兄弟們,3,10,xiōngdìmen
直到,直到,3,6,zhídào
傳播,傳播,2,7,chuánbō
發揮,發揮,2,5,fāhuī
暫停,暫停,2,7,zàntíng
一帶,一帶,2,5,yīdài
說法,說法,2,6,shuōfǎ
站,站,2,4,zhàn
推翻,推翻,2,6,tuīfān
接觸,接觸,2,6,jiēchù
概念,概念,2,7,gàiniàn
防衛,防衛,2,7,fángwèi
火車,火車,2,6,huǒchē
話題,話題,2,5,huàtí
州,州,2,4,zhōu
阿普利亞,阿普利亞,2,7,āpǔlìyà
伊斯蘭教,伊斯蘭教,2,11,yīsīlánjiào
全部,全部,2,6,quánbù
保留,保留,2,6,bǎoliú
見,見,2,4,jiàn
官員,官員,2,8,guānyuán
國防,國防,2,7,guófáng
移除,移除,2,5,yíchú
童工,童工,2,8,tónggōng
飛行員,飛行員,2,11,fēixíngyuán
美國人,美國人,2,9,měiguórén
標誌,標誌,2,7,biāozhì
本週,本週,2,7,běnzhōu
平台,平台,2,7,píngtái
著陸,著陸,2,5,zhelù
進去,進去,2,5,jìnqù
報紙,報紙,2,6,bàozhǐ
為期,為期,2,5,wèiqī
成就,成就,2,8,chéngjiù
局,局,2,2,jú
資金,資金,2,5,zījīn
梅,梅,2,3,méi
乃至,乃至,2,6,nǎizhì
意圖,意圖,2,4,yìtú
背後,背後,2,6,bèihòu
議院,議院,2,6,yìyuàn
身份,身份,2,7,shēnfèn
提高,提高,2,5,tígāo
勢力,勢力,2,5,shìlì
主演,主演,2,6,zhǔyǎn
很快,很快,2,7,hěnkuài
小鎮,小鎮,2,8,xiǎozhèn
平手,平手,2,8,píngshǒu
挪威,挪威,2,6,nuówēi
發送,發送,2,6,fāsòng
必要,必要,2,5,bìyào
抗議,抗議,2,6,kàngyì
演化,演化,2,6,yǎnhuà
社交,社交,2,7,shèjiāo
單元,單元,2,7,dānyuán
一面,一面,2,6,yīmiàn
肥料,肥料,2,7,féiliào
方,方,2,4,fāng
主導,主導,2,6,zhǔdǎo
丹麥語,丹麥語,2,8,dānmàiyǔ
方言,方言,2,7,fāngyán
失望,失望,2,7,shīwàng
丟,丟,2,3,diū
分,分,2,3,fēn
安迪,安迪,2,4,āndí
冰島,冰島,2,7,bīngdǎo
崔絲,崔絲,2,5,cuīsī
聊天,聊天,2,8,liáotiān
因而,因而,2,5,yīnér
吉卜林,吉卜林,2,10,jíbo bǔlín
那兒,那兒,2,4,nàér
擔心,擔心,2,6,dānxīn
赫爾茨,赫爾茨,2,6,hèěrcí
人民,人民,2,6,rénmín
爵位,爵位,2,6,juéwèi
形象,形象,2,9,xíngxiàng
樣,樣,2,4,yàng
拉博夫,拉博夫,2,6,lābófū
指揮,指揮,2,6,zhǐhuī
集團,集團,2,6,jítuán
凱爾特海,凱爾特海,2,10,kǎiěrtèhǎi
可靠,可靠,2,5,kěkào
王,王,2,4,wáng
可能性,可能性,2,10,kěnéngxìng
推特,推特,2,5,tuītè
奧運會,奧運會,2,8,àoyùnhuì
空中,空中,2,9,kōngzhōng
肺,肺,2,3,fèi
效忠,效忠,2,9,xiàozhōng
拿破崙,拿破崙,2,7,nápòlún
微小,微小,2,7,wēixiǎo
飛行,飛行,2,7,fēixíng
海報,海報,2,6,hǎibào
博客,博客,2,4,bókè
干預,干預,2,5,gànyù
藉由,藉由,2,5,jíyóu
旅行,旅行,2,6,lǚxíng
深遠,深遠,2,8,shēnyuǎn
安石,安石,2,5,ānshí
寫作,寫作,2,6,xiězuò
鱈魚,鱈魚,2,5,xuěyú
助理,助理,2,5,zhùlǐ
機會,機會,2,5,jīhuì
不幸,不幸,2,6,bùxìng
獎項,獎項,2,10,jiǎngxiàng
坎伯蘭,坎伯蘭,2,8,kǎnbólán
艾達,艾達,2,4,àidá
確實,確實,2,6,quèshí
卡塔拉諾,卡塔拉諾,2,9,kǎtǎlānuò
毀滅,毀滅,2,6,huǐmiè
巴羅佐,巴羅佐,2,8,bāluózuǒ
假設,假設,2,6,jiǎshè
達到,達到,2,5,dádào
格拉斯哥,格拉斯哥,2,8,gélāsīgē
搬回,搬回,2,6,bānhuí
滿意,滿意,2,5,mǎnyì
阿爾瓦雷茨,阿爾瓦雷茨,2,10,āěrwǎléicí
詞,詞,2,2,cí
進場,進場,2,8,jìnchǎng
協定,協定,2,7,xiédìng
極度,極度,2,4,jídù
找,找,2,4,zhǎo
要么,要么,2,5,yàome
尤其,尤其,2,5,yóuqí
喬治,喬治,2,7,qiáozhì
收益,收益,2,6,shōuyì
提及,提及,2,4,tíjí
衣服,衣服,2,4,yīfú
食物,食物,2,5,shíwù
正式,正式,2,8,zhèngshì
卡森,卡森,2,5,kǎsēn
揭露,揭露,2,5,jiēlù
隨時,隨時,2,6,suíshí
結果,結果,2,6,jiéguǒ
情侶,情侶,2,6,qínglǚ
開,開,2,3,kāi
撤退,撤退,2,6,chètuì
實驗,實驗,2,6,shíyàn
阿特靈,阿特靈,2,7,ātèlíng
賺取,賺取,2,7,zhuànqǔ
太空,太空,2,7,tàikōng
緊鄰,緊鄰,2,6,jǐnlín
場合,場合,2,7,chǎnghé
選項,選項,2,9,xuǎnxiàng
丘吉爾,丘吉爾,2,7,qiūjíěr
死亡,死亡,2,6,sǐwáng
存活,存活,2,6,cúnhuó
長成,長成,2,10,zhǎngchéng
虔誠,虔誠,2,9,qiánchéng
停留,停留,2,7,tíngliú
埃爾多安,埃爾多安,2,9,āiěrduōān
養分,養分,2,7,yǎngfēn
來臨,來臨,2,6,láilín
礦物,礦物,2,7,kuàngwù
材料,材料,2,7,cáiliào
驚訝,驚訝,2,6,jīngyà
即使,即使,2,5,jíshǐ
前進,前進,2,7,qiánjìn
掌權,掌權,2,9,zhǎngquán
分隔,分隔,2,5,fēngé
代,代,2,3,dài
人均,人均,2,6,rénjūn
指,指,2,3,zhǐ
主持人,主持人,2,9,zhǔchírén
關閉,關閉,2,6,guānbì
古老,古老,2,5,gǔlǎo
入讀率,入讀率,2,6,rùdúlǜ
男子,男子,2,5,nánzi
愚蠢,愚蠢,2,6,yúchǔn
使得,使得,2,5,shǐdé
朝鮮,朝鮮,2,8,cháoxiān
相對,相對,2,8,xiāngduì
撒哈拉,撒哈拉,2,6,sāhālā
極大,極大,2,4,jídà
撒海爾區,撒海爾區,2,9,sāhǎiěrqū
劇,劇,2,2,jù
學,學,2,3,xué
獨自,獨自,2,4,dúzì
霸占,霸占,2,6,bàzhàn
思考,思考,2,5,sīkǎo
範圍,範圍,2,6,fànwéi
打入,打入,2,4,dǎrù
限制,限制,2,7,xiànzhì
知識,知識,2,10,zhīshí shì
擬定,擬定,2,6,nǐdìng
近海,近海,2,6,jìnhǎi
錦標賽,錦標賽,2,10,jǐnbiāosài
正確,正確,2,8,zhèngquè
地理,地理,2,7,de dìlǐ
後來,後來,2,6,hòulái
太陽,太陽,2,7,tàiyáng
雪人,雪人,2,6,xuěrén
腓尼基,腓尼基,2,7,féiníjī
古典,古典,2,6,gǔdiǎn
靈感,靈感,2,7,línggǎn
勳爵,勳爵,2,6,xūnjué
有趣,有趣,2,5,yǒuqù
最多,最多,2,6,zuìduō
互相,互相,2,7,hùxiāng
澳大利亞人,澳大利亞人,2,11,àodàlìyàrén
通道,通道,2,7,tōngdào
中斷,中斷,2,9,zhōngduàn
食品,食品,2,6,shípǐn
岡薩雷斯,岡薩雷斯,2,11,gāngsàléisī
從而,從而,2,6,cóngér
去除,去除,2,5,qùchú
科學家,科學家,2,8,kēxuéjiā
增長率,增長率,2,11,zēngzhǎnglǜ
碳,碳,2,3,tàn
社區,社區,2,5,shèqū
立場,立場,2,7,lìchǎng
收入,收入,2,6,shōurù
聯合國,聯合國,2,9,liánhéguó
賽道,賽道,2,6,sàidào
直至,直至,2,6,zhízhì
各,各,2,2,gè
克頓,克頓,2,5,kèdùn
乘客,乘客,2,7,chéngkè
青銅,青銅,2,8,qīngtóng
文章,文章,2,8,wénzhāng
迦南人,迦南人,2,9,jiānánrén
喬,喬,2,4,qiáo
超級,超級,2,6,chāojí
主席,主席,2,5,zhǔxí
樣本,樣本,2,7,yàngběn
大火,大火,2,5,dàhuǒ
局面,局面,2,6,júmiàn
實驗室,實驗室,2,9,shíyànshì
約里奧,約里奧,2,7,yuēlǐào
乘坐,乘坐,2,8,chéngzuò
瑪雅人,瑪雅人,2,7,mǎyǎrén
巴爾幹,巴爾幹,2,7,bāěrgàn
修建,修建,2,7,xiūjiàn
擺脫,擺脫,2,6,bǎituō
日子,日子,2,4,rìzi
遺忘,遺忘,2,6,yíwàng
賞識,賞識,2,12,shǎngshí shì
史前,史前,2,7,shǐqián
諾瑪,諾瑪,2,5,nuòmǎ
理查德,理查德,2,7,lǐchádé
流行,流行,2,7,liúxíng
計算,計算,2,6,jìsuàn
武裝,武裝,2,8,wǔzhuāng
角度,角度,2,6,jiǎodù
永,永,2,4,yǒng
歡樂,歡樂,2,6,huānlè
鬧劇,鬧劇,2,5,nàojù
精英,精英,2,8,jīngyīng
正是,正是,2,8,zhèngshì
穩步,穩步,2,5,wěnbù
比例,比例,2,4,bǐlì
此外,此外,2,5,cǐwài
日常,日常,2,7,rìcháng
即將,即將,2,7,jíjiāng
經歷,經歷,2,6,jīnglì
嫌疑人,嫌疑人,2,9,xiányírén
小塊,小塊,2,8,xiǎokuài
假期,假期,2,5,jiǎqī
叛軍,叛軍,2,6,pànjūn
石製,石製,2,6,shízhì
前線,前線,2,8,qiánxiàn
目擊者,目擊者,2,7,mùjīzhě
分鐘,分鐘,2,8,fēnzhōng
經驗,經驗,2,7,jīngyàn
裡面,裡面,2,6,lǐmiàn
多斯,多斯,2,5,duōsī
很少,很少,2,7,hěnshǎo
對抗,對抗,2,7,duìkàng
生者,生者,2,8,shēngzhě
慶祝,慶祝,2,7,qìngzhù
相比,相比,2,7,xiāngbǐ
亞歷山大,亞歷山大,2,10,yàlìshāndà
尼古拉斯,尼古拉斯,2,8,nígǔlāsī
變成,變成,2,9,biànchéng
說客,說客,2,6,shuōkè
投資者,投資者,2,8,tóuzīzhě
李維,李維,2,5,lǐwéi
激烈,激烈,2,5,jīliè
場地,場地,2,10,chǎngde dì
群島,群島,2,6,qúndǎo
萊恩,萊恩,2,5,láiēn
太平洋,太平洋,2,11,tàipíngyáng
公主,公主,2,7,gōngzhǔ
印,印,2,3,yìn
心態,心態,2,6,xīntài
殖民地,殖民地,2,11,zhímínde dì
客串,客串,2,7,kèchuàn
每人,每人,2,6,měirén
貴族,貴族,2,5,guìzú
冊,冊,2,2,cè
科幻,科幻,2,6,kēhuàn
缺席,缺席,2,5,quēxí
簡直,簡直,2,7,jiǎnzhí
基督教,基督教,2,8,jīdūjiào
好評,好評,2,7,hǎopíng
巨額,巨額,2,3,jùé
城鎮,城鎮,2,9,chéngzhèn
史達林,史達林,2,8,shǐdálín
可疑,可疑,2,4,kěyí
團體,團體,2,6,tuántǐ
後果,後果,2,6,hòuguǒ
願意,願意,2,6,yuànyì
設計師,設計師,2,8,shèjìshī
相反,相反,2,8,xiāngfǎn
海峽,海峽,2,6,hǎixiá
檢查,檢查,2,7,jiǎnchá
年級,年級,2,6,niánjí
進口,進口,2,6,jìnkǒu
朱婷,朱婷,2,7,zhūtíng
該州,該州,2,7,gāizhōu
妥協,妥協,2,6,tuǒxié
不想,不想,2,7,bùxiǎng
葬禮,葬禮,2,6,zànglǐ
選,選,2,4,xuǎn
瑪格麗特,瑪格麗特,2,8,mǎgélìtè
大都會,大都會,2,11,dàdōu dūhuì
公民,公民,2,7,gōngmín
秘密,秘密,2,4,mìmì
多少,多少,2,7,duōshǎo
卡洛斯,卡洛斯,2,7,kǎluòsī
統治者,統治者,2,10,tǒngzhìzhě
生肖,生肖,2,9,shēngxiào
打開,打開,2,5,dǎkāi
愛丁堡,愛丁堡,2,9,àidīngbǎo
凱撒,凱撒,2,5,kǎisā
接收,接收,2,7,jiēshōu
損失,損失,2,6,sǔnshī
開支,開支,2,6,kāizhī
公國,公國,2,7,gōngguó
資本,資本,2,5,zīběn
末,末,2,2,mò
每年,每年,2,7,měinián
證據,證據,2,7,zhèngjù
小教堂,小教堂,2,12,xiǎojiàotáng
推動,推動,2,7,tuīdòng
成果,成果,2,8,chéngguǒ
儲蓄,儲蓄,2,5,chǔxù
貝貝,貝貝,2,6,bèibèi
安第斯,安第斯,2,6,āndìsī
建設,建設,2,7,jiànshè
安東尼,安東尼,2,8,āndōngní
部落,部落,2,5,bùluò
日耳曼,日耳曼,2,7,rìěrmàn
立足,立足,2,4,lìzú
其後,其後,2,5,qíhòu
希斯帕尼亞,希斯帕尼亞,2,10,xīsīpàníyà
海外,海外,2,6,hǎiwài
邁克爾,邁克爾,2,7,màikèěr
代理,代理,2,5,dàilǐ
迪斯尼,迪斯尼,2,6,dísīní
氣象,氣象,2,7,qìxiàng
協助,協助,2,6,xiézhù
斯洛伐克,斯洛伐克,2,9,sīluòfákè
蘇格蘭,蘇格蘭,2,7,sūgélán
中央,中央,2,9,zhōngyāng
一分為二,一分為二,2,10,yīfēnwèièr
法令,法令,2,6,fǎlìng
首席,首席,2,6,shǒuxí
含量,含量,2,8,hánliàng
溫特科恩,溫特科恩,2,9,wēntèkēēn
賠償,賠償,2,8,péicháng
延續,延續,2,5,yánxù
龐培,龐培,2,7,pángpéi
罕見,罕見,2,7,hǎnjiàn
品牌,品牌,2,6,pǐnpái
取代,取代,2,5,qǔdài
緊接,緊接,2,6,jǐnjiē
變遷,變遷,2,8,biànqiān
透露,透露,2,5,tòulù
長大,長大,2,7,zhǎngdà
路易,路易,2,4,lùyì
顧客,顧客,2,4,gùkè
作出,作出,2,6,zuòchū
名人,名人,2,7,míngrén
莫伊米爾,莫伊米爾,2,8,mòyīmǐěr
擴展,擴展,2,7,kuòzhǎn
顯而易見,顯而易見,2,12,xiǎnéryìjiàn
蓋耶,蓋耶,2,5,gàiyé
破裂,破裂,2,5,pòliè
能源,能源,2,8,néngyuán
預報,預報,2,5,yùbào
哭泣,哭泣,2,4,kūqì
恰當,恰當,2,7,qiàdāng
對手,對手,2,7,duìshǒu
離婚,離婚,2,5,líhūn
演員,演員,2,7,yǎnyuán
優秀,優秀,2,6,yōuxiù
不久,不久,2,5,bùjiǔ
滿月,滿月,2,6,mǎnyuè
投入,投入,2,5,tóurù
觀察,觀察,2,7,guānchá
燈塔,燈塔,2,6,dēngtǎ
摩納哥,摩納哥,2,6,mónàgē
波蘭,波蘭,2,5,bōlán
伯戈因,伯戈因,2,7,bógēyīn
四世,四世,2,5,sìshì
採取,採取,2,5,cǎiqǔ
建成,建成,2,9,jiànchéng
統計,統計,2,6,tǒngjì
理查,理查,2,5,lǐchá
平壤,平壤,2,8,píngrǎng
約克,約克,2,5,yuēkè
嫁給,嫁給,2,6,jiàgěi
數字,數字,2,5,shùzì
獲勝,獲勝,2,8,huòshèng
追求,追求,2,7,zhuīqiú
基,基,2,2,jī
告終,告終,2,8,gàozhōng
制度,制度,2,5,zhìdù
立石,立石,2,5,lìshí
哪兒,哪兒,2,4,nǎér
補助,補助,2,5,bǔzhù
質量,質量,2,8,zhìliàng
火箭,火箭,2,7,huǒjiàn
哪,哪,2,2,nǎ
職位,職位,2,6,zhíwèi
兼,兼,2,4,jiān
廣,廣,2,5,guǎng
不管,不管,2,6,bùguǎn
否則,否則,2,5,fǒuzé
程序,程序,2,7,chéngxù
奇蹟,奇蹟,2,4,qíjī
作曲家,作曲家,2,8,zuòqūjiā
裡根,裡根,2,5,lǐgēn
臉,臉,2,4,liǎn
休息,休息,2,5,xiūxī
狀態,狀態,2,9,zhuàngtài
當前,當前,2,8,dāngqián
環節,環節,2,7,huánjié
船隻,船隻,2,8,chuánzhī
大樓,大樓,2,5,dàlóu
不可思議,不可思議,2,8,bùkěsīyì
時刻,時刻,2,5,shíkè
遺跡,遺跡,2,4,yíjī
埋,埋,2,3,mái
收到,收到,2,7,shōudào
斷層,斷層,2,8,duàncéng
春天,春天,2,8,chūntiān
注重,注重,2,8,zhùzhòng
較為,較為,2,7,jiàowèi
起源,起源,2,6,qǐyuán
認識,認識,2,10,rènshí shì
露天,露天,2,6,lùtiān
有時,有時,2,6,yǒushí
西雅那,西雅那,2,6,xīyǎnà
駁回,駁回,2,5,bóhuí
引用,引用,2,7,yǐnyòng
撤回,撤回,2,6,chèhuí
武器,武器,2,4,wǔqì
匈牙利,匈牙利,2,9,xiōngyálì
女巫,女巫,2,4,nǚwū
錯誤,錯誤,2,5,cuòwù
那里,那里,2,4,nàlǐ
巴西,巴西,2,4,bāxī
詹姆斯,詹姆斯,2,8,zhānmǔsī
南非,南非,2,6,nánfēi
通知,通知,2,7,tōngzhī
歷史學家,歷史學家,2,11,lìshǐxuéjiā
大麻,大麻,2,4,dàmá
教皇,教皇,2,9,jiàohuáng
充滿,充滿,2,8,chōngmǎn
取消,取消,2,6,qǔxiāo
生產,生產,2,9,shēngchǎn
片場,片場,2,9,piànchǎng
狀況,狀況,2,11,zhuàngkuàng
帕爾馬,帕爾馬,2,6,pàěrmǎ
紅,紅,2,4,hóng
呼聲,呼聲,2,7,hūshēng
血紅蛋白,血紅蛋白,2,13,xuèhóngdànbái
拉美西斯,拉美西斯,2,9,lāměixīsī
添加,添加,2,7,tiānjiā
三百萬,三百萬,2,9,sānbǎiwàn
強制,強制,2,8,qiángzhì
成長,成長,2,10,chéngzhǎng
獲獎,獲獎,2,8,huòjiǎng
而是,而是,2,5,érshì
絕妙,絕妙,2,7,juémiào
吸引力,吸引力,2,7,xīyǐnlì
不論,不論,2,5,bùlùn
篇,篇,2,4,piān
影片,影片,2,8,yǐngpiàn
藝術性,藝術性,2,9,yìshùxìng
猜測,猜測,2,5,cāicè
總部,總部,2,6,zǒngbù
沙塵暴,沙塵暴,2,10,shāchénbào
加低斯,加低斯,2,7,jiādīsī
登上,登上,2,9,dēngshàng
奧林匹克,奧林匹克,2,9,àolínpǐkè
牧師,牧師,2,5,mùshī
客戶,客戶,2,4,kèhù
低海拔,低海拔,2,7,dīhǎibá
蒂娜,蒂娜,2,4,dìnà
同年,同年,2,8,tóngnián
不少,不少,2,6,bùshǎo
吉他手,吉他手,2,8,jítāshǒu
字母表,字母表,2,8,zìmǔbiǎo
止,止,2,3,zhǐ
知,知,2,3,zhī
推出,推出,2,6,tuīchū
指出,指出,2,6,zhǐchū
供,供,2,4,gōng
注意,注意,2,5,zhùyì
奪回,奪回,2,6,duóhuí
位置,位置,2,6,wèizhì
族裔,族裔,2,4,zúyì
傷害,傷害,2,8,shānghài
